model,wideresnet
batch_size,160
epochs,300
learning_rate,0.05
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.05398,0.0525
1,0.1259,0.1009
2,0.17712,0.1758
3,0.23728,0.2403
4,0.30372,0.2755
5,0.3591,0.3209
6,0.40686,0.3727
7,0.44724,0.3779
8,0.48466,0.4194
9,0.51662,0.4138
10,0.54346,0.4743
11,0.56606,0.4894
12,0.58588,0.5352
13,0.60542,0.5439
14,0.61932,0.5305
15,0.63686,0.5433
16,0.6491,0.5744
17,0.66722,0.5829
18,0.67714,0.576
19,0.68688,0.5806
20,0.69614,0.5916
21,0.70554,0.5879
22,0.71718,0.589
23,0.72718,0.5957
24,0.73368,0.573
25,0.74248,0.582
26,0.74934,0.5887
27,0.75158,0.5705
28,0.76076,0.586
29,0.76562,0.6095
30,0.77288,0.584
31,0.77792,0.6211
32,0.78144,0.5936
33,0.78622,0.5907
34,0.79504,0.6098
35,0.79408,0.6102
36,0.80006,0.615
37,0.80606,0.6269
38,0.80624,0.6223
39,0.81094,0.6263
40,0.81326,0.6152
41,0.81394,0.63
42,0.8188,0.6374
43,0.82198,0.6388
44,0.82762,0.6047
45,0.82866,0.6293
46,0.8282,0.6113
47,0.8314,0.6246
48,0.8343,0.6297
49,0.83568,0.6416
50,0.90948,0.7493
51,0.9421,0.7538
52,0.95564,0.7539
53,0.9649,0.7529
54,0.97154,0.7579
55,0.97592,0.7584
56,0.98026,0.759
57,0.98298,0.7549
58,0.98392,0.759
59,0.98688,0.7545
60,0.98664,0.7597
61,0.98862,0.7583
62,0.98952,0.7558
63,0.98954,0.7571
64,0.9899,0.755
65,0.99062,0.7531
66,0.9904,0.757
67,0.99094,0.7586
68,0.9903,0.7498
69,0.99156,0.7543
70,0.99146,0.7491
71,0.99058,0.7518
72,0.9885,0.7463
73,0.98874,0.7497
74,0.98782,0.7465
75,0.98784,0.7501
76,0.98538,0.7441
77,0.98598,0.7386
78,0.98574,0.7438
79,0.98404,0.7417
80,0.98354,0.7316
81,0.98268,0.7377
82,0.98202,0.72
83,0.97918,0.7364
84,0.97772,0.728
85,0.97502,0.7227
86,0.97414,0.7222
87,0.97622,0.7133
88,0.97224,0.722
89,0.97522,0.7187
90,0.97274,0.7125
91,0.97314,0.7176
92,0.9725,0.7288
93,0.97246,0.721
94,0.97204,0.713
95,0.97146,0.7215
96,0.97092,0.7144
97,0.9702,0.7107
98,0.97278,0.7264
99,0.97058,0.7177
100,0.9886,0.7729
101,0.99636,0.7779
102,0.9975,0.7775
103,0.99812,0.778
104,0.99862,0.7824
105,0.99888,0.7811
106,0.99892,0.7822
107,0.9993,0.7837
108,0.9991,0.7811
109,0.99916,0.7819
110,0.99932,0.7816
111,0.9991,0.7816
112,0.99922,0.7837
113,0.99936,0.7848
114,0.99944,0.7833
115,0.9995,0.7837
116,0.9995,0.7829
117,0.99966,0.784
118,0.9994,0.7853
119,0.99952,0.787
120,0.9996,0.7848
121,0.99974,0.7858
122,0.9996,0.784
123,0.9995,0.7838
124,0.9997,0.7838
125,0.99964,0.7858
126,0.99968,0.7839
127,0.99964,0.7837
128,0.99968,0.7828
129,0.99974,0.786
130,0.99976,0.7836
131,0.99968,0.7847
132,0.99972,0.7858
133,0.99968,0.7854
134,0.9997,0.7853
135,0.9997,0.7834
136,0.99982,0.7859
137,0.99974,0.7848
138,0.99984,0.7864
139,0.99984,0.7851
140,0.9999,0.7868
141,0.99966,0.7841
142,0.99976,0.7864
143,0.99974,0.7845
144,0.9997,0.784
145,0.99972,0.7851
146,0.9997,0.7869
147,0.99978,0.7846
148,0.9998,0.7835
149,0.99972,0.7858
150,0.99986,0.7852
151,0.99986,0.7878
152,0.99984,0.7863
153,0.99978,0.7865
154,0.99986,0.7861
155,0.99994,0.7867
156,0.9999,0.7865
157,0.99988,0.7861
158,0.99984,0.7858
159,0.9999,0.7859
160,0.99992,0.7847
161,0.99988,0.7851
162,0.99992,0.7861
163,0.99988,0.7861
164,0.99992,0.7854
165,0.99998,0.7861
166,0.9999,0.7861
