model,resnet34
batch_size,80
epochs,200
learning_rate,0.1
data_augmentation,True
seed,3
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.10242,0.1475
1,0.19996,0.2324
2,0.2943,0.3154
3,0.3758,0.3901
4,0.44188,0.4313
5,0.47924,0.4654
6,0.5065,0.4667
7,0.52604,0.4634
8,0.54152,0.4867
9,0.55746,0.4935
10,0.5713,0.5122
11,0.5776,0.5284
12,0.58774,0.5294
13,0.58964,0.5035
14,0.59684,0.53
15,0.605,0.5106
16,0.60852,0.5177
17,0.6149,0.5312
18,0.6185,0.5245
19,0.6215,0.4976
20,0.61936,0.4905
21,0.62712,0.5387
22,0.62956,0.5059
23,0.6285,0.5289
24,0.63242,0.527
25,0.63464,0.5126
26,0.63762,0.4976
27,0.63662,0.53
28,0.63936,0.5407
29,0.64296,0.5431
30,0.64188,0.5526
31,0.64444,0.533
32,0.6455,0.5112
33,0.64374,0.5255
34,0.64434,0.552
35,0.64738,0.535
36,0.65008,0.5467
37,0.65136,0.4874
38,0.65306,0.5675
39,0.65258,0.553
40,0.65184,0.537
41,0.65152,0.5592
42,0.65452,0.5454
43,0.65478,0.5288
44,0.65514,0.5317
45,0.65498,0.5439
46,0.65736,0.5497
47,0.6552,0.553
48,0.6594,0.5478
49,0.65792,0.5399
50,0.7832,0.7168
51,0.82946,0.7104
52,0.8533,0.7168
53,0.86528,0.7095
54,0.8757,0.7003
55,0.87558,0.6973
56,0.8789,0.6931
57,0.87778,0.6784
58,0.87362,0.6764
59,0.87568,0.6723
60,0.87582,0.6804
61,0.87594,0.6656
62,0.87438,0.675
63,0.87914,0.6766
64,0.87918,0.6709
65,0.88442,0.676
66,0.88366,0.6746
67,0.88546,0.667
68,0.88694,0.6663
69,0.89002,0.6677
70,0.88968,0.6628
71,0.89222,0.6754
72,0.89054,0.6619
73,0.8961,0.6625
74,0.89474,0.6822
75,0.89754,0.6704
76,0.89988,0.6653
77,0.89834,0.6559
78,0.89632,0.6583
79,0.9009,0.6597
80,0.9028,0.6707
81,0.90138,0.6668
82,0.8991,0.6554
83,0.90654,0.6606
