model,resnet50
batch_size,80
epochs,200
learning_rate,0.1
data_augmentation,True
seed,0
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.05316,0.0973
1,0.12624,0.1702
2,0.1894,0.2203
3,0.25176,0.2824
4,0.3114,0.3278
5,0.36454,0.3654
6,0.4061,0.4022
7,0.4347,0.4025
8,0.45736,0.4376
9,0.47644,0.4655
10,0.49262,0.4166
11,0.5037,0.4704
12,0.514,0.4613
13,0.5234,0.4745
14,0.52936,0.4808
15,0.53778,0.4655
16,0.54232,0.4801
17,0.54826,0.5039
18,0.554,0.4573
19,0.55604,0.4838
20,0.56284,0.5194
21,0.56592,0.4673
22,0.57108,0.489
23,0.57136,0.5065
24,0.5754,0.4975
25,0.5776,0.505
26,0.5814,0.5057
27,0.58342,0.496
28,0.58402,0.51
29,0.58522,0.5075
30,0.58962,0.5123
31,0.58986,0.5044
32,0.58974,0.5085
33,0.59116,0.5053
34,0.5928,0.4954
35,0.59516,0.5235
36,0.59732,0.5226
37,0.59674,0.4988
38,0.5971,0.5078
39,0.59706,0.4993
40,0.60238,0.5041
41,0.60128,0.4877
42,0.60342,0.456
43,0.60178,0.5135
44,0.60306,0.5003
45,0.60432,0.5093
46,0.60278,0.5121
47,0.60552,0.5191
48,0.60674,0.5214
49,0.60768,0.5267
50,0.73714,0.6874
51,0.7807,0.6952
52,0.79856,0.6946
53,0.80928,0.6898
54,0.81572,0.6833
55,0.82176,0.6635
56,0.81952,0.6693
57,0.82158,0.661
58,0.82254,0.6549
59,0.82458,0.6537
60,0.82556,0.6449
61,0.82864,0.6591
62,0.82836,0.6524
63,0.83666,0.6437
64,0.83634,0.6443
65,0.83964,0.6515
66,0.83838,0.6502
67,0.84326,0.6678
